,hash,dtype-<class 'numpy.int8'>,dtype-<class 'numpy.uint8'>,dtype-<class 'numpy.int16'>,dtype-<class 'numpy.uint16'>,dtype-<class 'numpy.int32'>,dtype-<class 'numpy.uint32'>,dtype-<class 'numpy.int64'> (0),dtype-<class 'numpy.uint64'>,dtype-<class 'numpy.float32'>,dtype-<class 'numpy.float64'>,dtype-<class 'numpy.int64'> (1)
60,09dd75e9e2139bc9742e6009b7babe41d4c002df,,,,,,,,,6.744690963168102e-05,9.455973578786308e-05,
61,85d64e375f53f6028519d3aaad0b421934dcbe24,,,,,,,,,6.715196801663993e-05,9.59923823497125e-05,
62,09e04dcbe3d0c836437b2d4745b353b256ec6265,,,,,,,,,7.568787141526873e-05,0.00010765790123223644,
63,cdd7ab252988ff4254705e0a89874edeb5cea8eb,,,,,,,,,7.785457342754316e-05,0.000111178732341499,
64,06da877ceae914a875bd1a55cd8e271332358803,,,,,,,,,7.553206234906159e-05,0.00010720418151660065,
65,8529dfaaec65248420faffe095bac03c23881735,,,,,,,,,7.415771165600159e-05,0.00010131017276735017,
66,171a3e5811e43643788c20075be9ba52efb83b81,,,,,,,,,7.866511709595981e-05,0.00010998237709653505,
67,5bf9ab98edd254dee1162d6f1863053e040cf828,,,,,,,,,7.862059817630417e-05,0.00010325303522958641,
68,9776a73cee9eaaff6af40e971fa2bb7f8f1086c5,,,,,,,,,7.646167885324509e-05,0.00011422591941321597,
69,37a1ad069a800f5ef98286f25fb3fb632375168d,,,,,,,,,7.742362180983441e-05,0.00011604682352113467,
70,1cb2230bb1bfb9b2544dab798dffeedce64ad39f,,,,,,,,,8.070191982737247e-05,0.00011158338056342437,
71,044f5131450f38cdfbab63d6999b60e7e3bbabe5,,,,,,,,,7.84479101731194e-05,0.00010954513041705816,
72,dc089026b4ad0d2d9ea992c7f1b9b5e716dd82cd,,,,,,,,,7.69503614200013e-05,0.00011240616391234575,
73,53adf81bc503d749b13160a27e49160c5bbe48d7,,,,,,,,,7.990738616653663e-05,0.00011038904788798278,
74,49e00940a82f9590d774539cd188b634c29fc39f,,,,,,,,,7.983993150685964e-05,0.00010941994696622714,
75,7b9b41a4c7dbd7b719d62f343f57f841f5809693,,,,,,,,,8.09638434326026e-05,0.00011047160890149443,
76,ae88e02a48c4744afd22c63be388870037f3c84c,,,,,,,,,7.956313057700648e-05,0.00010975608602166176,
77,0aeab48b9e914d1dc7041b7e3f3b7e575ffcbbed,,,,,,,,,7.946845279007718e-05,0.00011868156492710114,
78,c18b3f59b5f5752ab038224fd3bdf2dadba55ecf,,,,,,,,,8.023468441987301e-05,0.00011352337431162596,
79,a5e5e51187d4476841503ce816924ea99936dba0,,,,,,,,,8.207923864696438e-05,0.00011109019465306226,
80,b1e69da5058846e4fbe538c5641597c49f34f9a2,,,,,,,,,8.601784151430954e-05,0.00011745156823760933,
81,388e8197e15403345950edc23ae5fc7a3cb0f644,,,,,,,,,8.021186307802068e-05,0.00011231013037183362,
82,9b7e890b014f6ad3b4288246f0565f7afd6eca84,,,,,,,,,8.043240280084901e-05,0.00011676192002067732,
83,96727cf007217256700a1d805569a73d2171f1d5,,,,,,,,,8.135125648954677e-05,0.00011334210479011138,
84,330435bb3420d798de08f86bf47287e55cf9e516,,,,,,,,,7.625922486455976e-05,0.00010478445904847887,
85,dae4f67c797176c66281101be8f3b4d6c424735c,,,,,,,,,7.370727932235846e-05,0.0001064104978571233,
86,615b6a5ef4040e5602a21aa2ff528c90d3ec6dd4,,,,,,,,,7.494722989289775e-05,0.0001004466431145117,
87,19b66496e248a4e4954a2a43f7100169a355236f,,,,,,,,,7.446578422413885e-05,0.00010772348953954255,
88,7b4c8731353586b50756be3b5c6e134211840876,,,,,,,,,7.316357585669354e-05,0.00010440925015481534,
89,cef4dc9d91d980c3df816de00154a22e96439fa4,,,,,,,,,7.534808303405355e-05,0.00010653771688321642,
90,af0dfce126a1d83cc33b8da9d91bce664f5d5297,,,,,,,,,7.806706012907758e-05,0.00010343825386971542,
91,1bc8dfc55c512c569f8f9de360cf49ace5f2cb39,,,,,,,,,7.51845154364209e-05,0.00010717049767465696,
92,8bd5dddda46805928bba355a288815831c50c96c,,,,,,,,,7.436663659961045e-05,0.00011536990722981833,
93,abdd996ee5a40889ac627445ebfda19bfec326d0,,,,,,,,,7.341222276222216e-05,0.0001063215121337511,
94,74afdda39be21af56b8f9ea9abdb1e8f994e5350,,,,,,,,,7.286127967139086e-05,0.00010882390074824032,
95,491f41acd2c6a0e7886662a2448b3d245ae432a9,,,,,,,,,7.686884604769646e-05,0.00010701579650720724,
96,1f9ab28a9ee5a0cda956da35d0c77a3a4c4bcd55,,,,,,,,,7.76009553152582e-05,0.00011014202997709313,
97,0437b83a931c5cc24296deecaa52d825e4d377e1,,,,,,,,,7.462499293256296e-05,0.00011063318233937026,
98,2eedaa4cf94cf54bbd4d8428aa39271410f22e9f,,,,,,,,,7.602441685878678e-05,0.00010263589346437778,
99,8a1592844f98e26a181ab2c1fc8f2e6fd3647f00,,,,,,,,,7.526409657051165e-05,0.00010757471900433302,
100,cd02ddc9c0ea2b7f5f879c0564709eabcec6f1af,,,,,,,,,7.556787841803544e-05,0.00010984689195422416,
101,4edd4375472f23c43048e078ba2db1826957f0e7,,,,,,,,,7.601256540917849e-05,0.00010526646975051151,
102,60f539b37514a9eb13c1ebfb8a252934f9084d30,,,,,,,,,7.40596248457829e-05,0.00010598274551469971,
103,4d2b5850488013319ff8354a1e764a0a2064fe63,,,,,,,,,7.272730296363635e-05,0.00010583684871009753,
104,5eff78bb16df99ffe2e9cad86c4ec649893c0646,,,,,,,,,7.487366458883992e-05,0.00010806836855962226,
105,df40e550d442e910826e4817d38cebb902f48d77,,,,,,,,,7.757136978916009e-05,0.00011082798656490114,
106,760800d2c602b1c4e1a10d3a0ba12944df28cc73,,,,,,,,,7.319411182467886e-05,0.00010649879862155233,
107,f1a247f9952085db72c3f8248f8336a0961d825c,,,,,,,,,7.806680960594303e-05,0.00010718487632962374,
108,473a68a53028f8a24b88bb9fc08b38dc3b69800e,,,,,,,,,7.694146549659417e-05,0.0001102893677825975,
109,3963ed0ea4e7d89174b1e992d84b47c0751f533f,,,,,,,,,7.495949757379172e-05,0.00010665126319509,
110,9b1acd42e8d4cfd476dc97b8d5bfe12b0c229d9d,,,,,,,,,7.611885028955054e-05,0.00011073047929304711,
111,de446a536903f906969a1c5860a32ba11078a5ae,,,,,,,,,7.89974276956759e-05,0.00011368824229778156,
112,b2545d01be561f7f8bb71c6064ba48de3d3e8dc1,,,,,,,,,7.692925533316783e-05,0.0001114865992852348,
