,hash,"dtype-f,stride-1","dtype-f,stride-2","dtype-f,stride-4","dtype-d,stride-1","dtype-d,stride-2","dtype-d,stride-4"
52,bb6b86e2afe88b371badfcefe298945002e47006,9.612190561316346e-05,0.00010058849538499662,0.0001021872135557379,9.42139682592824e-05,9.919182273072444e-05,9.997956665410172e-05
53,5c3762157a0cd7a6a036a2144a5fbfc5278a919d,9.607765909591266e-05,0.00010074444856901575,0.0001021929803719817,9.434499092590572e-05,9.892330913730389e-05,9.952162261744786e-05
54,e0ffe3572b37190d9da5b1d07057e4e038bd3197,0.00011947220105946104,0.00012707773027379127,0.00012817997014194372,9.832101356799037e-05,0.00010377400977428533,0.0001308533095335218
55,cfb6a4d88d88307d507a86d1d70cd7d84c611406,9.825430003859636e-05,0.00010246666507440556,0.00010664429411168813,9.795003186974844e-05,0.0001011561261584928,0.00010385607144728834
56,d4f7d9e215773e979eb43a1e5a3cbb51f96bd09d,0.000131385264037899,0.00014928058226360008,0.00014771406664901103,0.00012852869639616636,0.00013192893822449832,0.00014256688204052428
57,bec2b07db5c999721d2d2c10334f3afe78aaadd9,9.812678974208849e-05,0.00010281383011600871,0.00010447904402527083,9.589949543376199e-05,0.00010116285716538273,0.0001024524117740072
58,5ca0ef6272ef3eabe2feb4049b7cb05a52516495,0.00015326702587430943,0.00015653519675070724,0.00015723743101638132,0.00014901461101891032,0.0001530480573715291,0.0001527449363955326
59,cb557b79fa0ce467c881830f8e8e042c484ccfaa,0.00010039076168540535,0.00010495229127751302,0.00010639012871612103,0.00010235884723510094,0.00012451350949482904,0.00012450190864071302
60,badbf70324274bdb4299d8c64d3d83a26be2d4c0,0.00011756369989598169,0.00012370745219201089,0.00012317254176094948,0.00011632989232186701,0.00012045353244727042,0.00012410603533616533
61,4c780c2d4b35a54cf45ca7d931efcaca73d0bf24,9.897922218779395e-05,0.00010385567649934149,0.00010434393141836422,9.566329092856242e-05,0.00010095542225844308,0.00010178538454615942
62,3c91a3e1704c8aa7f1258aa30892040df9d952f4,0.00012355836145846308,0.0001629385793450407,0.0001672302786290424,0.00015082030597059472,0.00015032560652604739,0.00015103930303611736
63,fe3d717080e812383900507168a6bd7093c4e434,9.580596362700982e-05,9.706142925594731e-05,9.812469549863388e-05,9.339781814064323e-05,9.510279090715234e-05,9.591942725819535e-05
64,0cb9f7f7aa8f4255fafb5431dcc595ce183bc376,9.56090363615658e-05,9.730215910663405e-05,9.786259999435226e-05,9.35430863716068e-05,9.510677727203902e-05,9.579897272157144e-05
65,e69faef03428b82f5651a5fb521610ddea2bd22a,9.546124545687978e-05,9.699460184088416e-05,9.826359544769564e-05,9.374946365080011e-05,9.503560908011755e-05,9.629985000752972e-05
66,092905febd53742d2a700322f88b652d6a5fd4fb,0.00010125870756142694,0.00010110086913870116,0.00010386461162322554,9.892098132355538e-05,0.00010041585850352553,0.00010106926440410182
67,6cd4b015dfd512fb4bc9d2e06a0f0cef4503582b,0.0001246380249995127,0.00014114389503245347,0.00014018314394695952,0.00013357106940424678,0.0001171093532399897,0.00013575764288751608
68,3544fae2859d8ecac378b9ddc8f909c69455a831,0.00012171994087346379,0.00013915859678383387,0.00014223205002458094,0.00013188595875897254,0.00013215705152593802,0.00013293837631648276
69,05fcb6544f72ea173011a77cee14d72979ffe293,0.00012420899999845213,0.0001236058932989365,0.00012597036927466184,0.00011991721274829073,0.00012095334946074001,0.00011913673074309622
70,f4ef0fd5d97afc7788c46eb51889e90623f5577e,9.957585328569015e-05,0.00012106860137734927,0.00011878357536385909,0.00011437772293386325,9.826452882267543e-05,9.924705089495682e-05
