,hash,ndim-0,ndim-1,ndim-2
110,6511a143a0bfd2be89799a7db2e9363eba5e7450,1.665388850627262e-05,1.930980235071643e-05,2.1087841664269133e-05
111,529c61bdf69356b4a428d48bb5bc72c2417ed0cf,1.6131213589135228e-05,1.8962095385756005e-05,2.089700618735417e-05
112,97d2db483fc0ffd46f38d0e1c39d5fc001e33197,1.6206701505271827e-05,1.914210520389912e-05,2.0824079419396436e-05
113,5bf6d68e7241498556ee1b28fc146c1c21fbb5e4,1.6490351155976225e-05,1.8841288593112913e-05,2.0541676588025676e-05
114,e4e0ab8e5ba9cdf17f9bd2c3c9e06e3d12030022,1.602851192555612e-05,1.9349162759476253e-05,2.146759897331211e-05
115,a7401aee4d6d465977760e9e4b16f793d60f4ee4,1.618906808180545e-05,1.8730083022394622e-05,2.074998119769248e-05
116,32b3f82e4862d85c5aebba2b2b82a931038cd103,1.6178888484268996e-05,1.9204154800195084e-05,2.1001005780349656e-05
117,4cd6e4b336fbc68d88c0e9bc45a435ce7b721f1f,1.607876244223619e-05,1.925188723575086e-05,2.1558340953586144e-05
118,53ea3a9dd802c13dc6930504d4a896bba8287cb0,1.60596142376819e-05,1.8799382697550517e-05,2.0951845507402017e-05
119,e1863f3582e3e8870205f8a9d1ed1cef1bf536b4,1.6224652453009306e-05,1.935607150583553e-05,2.1610536702698277e-05
120,bbe2cca1925873dea538674b96b53b5cef0a148a,1.6336563666481028e-05,1.8926682536835435e-05,2.0821979322201366e-05
121,f4703789ee8181fb6a71f4250dc8316e81de7f78,1.669308367127087e-05,1.9148529180177817e-05,2.1221963238683795e-05
122,54811204a63c2606e89c4f053c4b9a7215207079,1.6175839803455506e-05,1.928515103237148e-05,2.1336912751606068e-05
123,60f9c616aa12800e27baef1db0f964cd9da6623f,1.625976942664197e-05,1.891470256898748e-05,2.0765685466721685e-05
124,651fb50e07a8e11d31bed9c202823da2ce558c58,1.6232272821047546e-05,1.902316524655303e-05,2.0798745007865424e-05
125,72e8904d1074c2eb02558c017880b9a8b3e017db,1.6279746206689204e-05,1.9240365729907925e-05,2.109429193750687e-05
126,459991afcddfce6fbbae3fa83467fe607f2de7d0,1.636050280842947e-05,1.859095071857745e-05,2.065569378914477e-05
127,263b293d9caf8f54183509275a853de9b8d8839f,1.6591632432444926e-05,1.9290263650419445e-05,2.1044571120685213e-05
128,3fbc84a5662ffd985a071b0bbdcd59e655041ad3,1.6179449949563992e-05,1.8873944392670755e-05,2.0881407563100238e-05
129,db866874ccb8c8c814df57eb1edca4fd05eb1753,1.6299008121805004e-05,1.9154369811443953e-05,2.1111529418512395e-05
130,f7cb42d52f121656b0a96ad5a9bc5c44506d2cce,1.630824193863918e-05,1.874319893382559e-05,2.059691254735777e-05
131,f1d0378d3735aa97a86af3b87b8a9d9ee4575af7,1.6420896290388495e-05,1.8843762573078836e-05,2.06875387082991e-05
132,6eaf8906c4dccc60592dedd0ec9a7aae0e7db851,1.6515833304676795e-05,1.8979176299049045e-05,2.087456575130979e-05
133,e3c84a44b68966ab887a3623a0ff57169e508deb,1.633594052148827e-05,1.8981097121562423e-05,2.0825185013350233e-05
134,1f8ce6341159ebb0731c2c262f4576609210d2c8,1.631078786259196e-05,1.9352434364854232e-05,2.1322093580565054e-05
135,f842c487da5096bd3e76a716ca033681981821c7,1.6257004607551872e-05,1.9319549104885052e-05,2.1537473898321864e-05
136,04d8d96285e38f1683960611177b360fb1b9718f,1.6343469654483004e-05,1.899327354547673e-05,2.069921474477262e-05
137,925f8381009bf63e54984fb4245466f0bef31ab0,1.669664680672986e-05,1.909405019062768e-05,2.084685084865024e-05
138,99bcf99750d7da499bf3887e6acf89f025e0b9f2,1.623698361438407e-05,1.9210679720796593e-05,2.0827613181064547e-05
139,912790315033d8a2b8d525eb36db410a851ca1f4,1.6164363983706263e-05,1.8655729844518328e-05,2.0389241508246585e-05
140,b95ba5d22c8e567afb5085f6dcc8aa0e499fe525,1.6162860042092165e-05,1.9053659123142786e-05,2.1040342744527152e-05
141,a8c8b63b70ce3303e56e2e89aefa7c9995cc2443,1.6008947535949564e-05,1.8668967319936335e-05,2.0634070304887637e-05
142,02746c9f20b8f491fd2cd40d8807b24ddc6ce26b,1.640198507199162e-05,1.9035699800105867e-05,2.081600474551893e-05
143,c970c04cbeb38c80901a02bc573a9333458d4c4a,1.608804064861118e-05,1.9114811990040405e-05,2.1404218291604543e-05
144,34ab10da8641ec9c98d8241ef94ae1ee0af946e9,1.6372885066015884e-05,1.9242797475473017e-05,2.1140643743326865e-05
