,hash,"arg_kwarg-(array([0., 1.]))","arg_kwarg-(array([0., 1.]), 0)","arg_kwarg-(array([0., 1.]), axis=0)","arg_kwarg-(array([0., 1.]), 0, None)","arg_kwarg-(array([0., 1.]), axis=0, dtype=None)","arg_kwarg-(array([0., 1.]), 0, None, array(0.))","arg_kwarg-(array([0., 1.]), axis=0, dtype=None, out=array(0.))","arg_kwarg-(array([0., 1.]), out=array(0.))"
20,ade91ea2f28284668fbf78971538ac4827d653b8,2.0203386358287725e-05,2.0801405308152437e-05,2.251839982228798e-05,2.0920316289578163e-05,2.331982741688753e-05,1.948753723557642e-05,2.230016789475425e-05,2.201451411978765e-05
21,b0a6e5583f2952a040c45d0d50f5e93372dc175b,2.0368168606009914e-05,2.0980253110377532e-05,2.289953678924952e-05,2.1153027801873138e-05,2.3576546388132305e-05,1.9449763313199567e-05,2.2677403751034213e-05,2.2201145758981226e-05
22,94b36b557ce7d88bbfe4091c59aa376764b7047d,2.0675289132976578e-05,2.1245539802004952e-05,2.2968128046728752e-05,2.1423052319071508e-05,2.3824143889278436e-05,1.9826559168513348e-05,2.2764795116688074e-05,2.21925324895097e-05
23,ce6d3ffc991c63c1a91fd806b4eb3d0008caace2,2.058348654406181e-05,2.1093825769795516e-05,2.2883414749615288e-05,2.128370537721052e-05,2.373376628383994e-05,1.9599622864203126e-05,2.279083140578137e-05,2.2273113540998457e-05
24,aab7993af0f6f3b9ac0d76952933b19163d65496,2.0740564869960727e-05,2.1145942992364257e-05,2.313987744917095e-05,2.155184908163452e-05,2.413878980449643e-05,1.997464169650825e-05,2.2913766803610146e-05,2.251499360997458e-05
25,b94c2b01ff7ef5b8dc44726512cfa232e9054882,2.089765221449255e-05,2.139955267921323e-05,2.3383215506882044e-05,2.156903136375488e-05,2.42198994875545e-05,1.9990919512003604e-05,2.2971533540198032e-05,2.2427241898096e-05
26,f737b354e6ab2aef8b4c05bca0011de46a4b53b0,2.0545998787773506e-05,2.1073724593732142e-05,2.286823614496566e-05,2.1204806147015165e-05,2.369415165195542e-05,1.9810154139461484e-05,2.287129875435834e-05,2.2268051005203307e-05
27,bbd5a7750fbed42a4aaf12f196282a9504a1e865,2.0569905098492593e-05,2.1239141544022886e-05,2.2750341831224748e-05,2.1461435601026878e-05,2.369411834856359e-05,1.9727940964806184e-05,2.2733051999479776e-05,2.222899375880103e-05
28,66f1b8a5411e8265ed87ff7bf97c67960af2624d,2.0749429550656133e-05,2.1338828446459956e-05,2.3071979908194362e-05,2.1554793602620455e-05,2.395094033484885e-05,2.0403192697237257e-05,2.3434580301699556e-05,2.2793755951252852e-05
29,d9347181d825d9426e783cfeafee304735bd25aa,2.0758371313965937e-05,2.1272659125220846e-05,2.3213596167889506e-05,2.1513325490934006e-05,2.394810663131268e-05,2.0147487085974106e-05,2.3029975991391535e-05,2.251947182472679e-05
30,fc159a547f091d1d6f75db470a0b8e9b2e7acea6,2.0859509677950907e-05,2.1234700296393886e-05,2.3236457528526593e-05,2.172199683263898e-05,2.3988488012275814e-05,2.0334043545443888e-05,2.317291169248997e-05,2.2556091557415606e-05
31,857125603f3cf72e2078ed2effd0f6ce40f0ca28,2.2787003704497426e-05,2.8453597968274895e-05,2.43531962890061e-05,3.133941651458106e-05,2.513837774691238e-05,2.978892606107026e-05,2.4200922449712046e-05,2.3660949009513437e-05
32,847119387dedec1ce7a85c1c0f29bcf86bc0348d,2.2775982213089194e-05,2.3569296703514992e-05,2.4506035114026018e-05,2.3793179096411103e-05,2.523980472036212e-05,2.2544770773903967e-05,2.4545499102466485e-05,2.3864165132681093e-05
33,deb4be85025088553d80d6637dbc17d7f8101f41,2.2710541149742212e-05,2.3435747847606096e-05,2.4358528813467526e-05,2.357476768296918e-05,2.5001921501286603e-05,2.2289758497798766e-05,2.4363943200120638e-05,2.38397388435933e-05
34,0c06b0b8593d947c5d63b72b6d84ecf83ae5da5b,2.2928363083197678e-05,2.3561243097985156e-05,2.442571505006137e-05,2.3887582500678264e-05,2.5121902982736454e-05,2.239602181658361e-05,2.4218777833598344e-05,2.3748619449243212e-05
35,c003e6ef6e421d23b5bf98f01df20f1350f61ea1,2.3103884484163067e-05,2.373652532696724e-05,2.4633618440848214e-05,2.402853387967578e-05,2.5463639484608875e-05,2.260109218348997e-05,2.4340141816539666e-05,2.3931697351165232e-05
36,a0c5f64f4f1a7f6ee80dc9b95aa813df28a87d72,2.341734373248091e-05,2.4278682729836262e-05,2.5243416106454413e-05,2.4475886902503687e-05,2.5978656686200766e-05,2.3246663306682845e-05,2.519811603918986e-05,2.432008259183397e-05
37,c53c89f0d8572086dd13cbe1c3c98a4e73b41d09,2.3279143959991875e-05,2.4043381906929685e-05,2.482272652606533e-05,2.4317428072906127e-05,2.5452902012742378e-05,2.3072646158691656e-05,2.489383216279975e-05,2.4328318734963734e-05
38,767744c86e1e4a27bf77f90a85f17e564c9b94ea,2.3136251709527438e-05,2.3981260622035613e-05,2.4785909460308658e-05,2.4077610077077978e-05,2.5490614067200783e-05,2.284572467502214e-05,2.4652615114039667e-05,2.4294766501106064e-05
39,e657629bbc2bfb880a1b2fa24a39c5921c1f965e,2.3026581927666352e-05,2.383743964761881e-05,2.4595977401369296e-05,2.4037096799085183e-05,2.53778845419139e-05,2.2841884592292964e-05,2.4616942167855225e-05,2.4153766354743567e-05
40,3d0c041ca162d69cc5bbb4d9d051eca7933f12bd,2.351493284138095e-05,2.433913162357248e-05,2.5138306570635444e-05,2.450234397664803e-05,2.5774813520739666e-05,2.3032996839114057e-05,2.4750489792248018e-05,2.405527889745177e-05
41,ce140e8d5c28f1f057db1102cf78263e48f86d61,2.3607848753684942e-05,2.4245641731505672e-05,2.5206467483279317e-05,2.455042591423131e-05,2.5889032757749742e-05,2.313171690390254e-05,2.5199151727869066e-05,2.442588246414601e-05
42,c18ab2c3975c8fa8b59724fe6855c528d72fef8c,2.3217951068012364e-05,2.38061328294926e-05,2.4544677006549577e-05,2.3876063969751066e-05,2.5215594573040503e-05,2.262234680108295e-05,2.4196388553113217e-05,2.3912197890148747e-05
43,3d2205dfd1d28fb8106e60223cf7207a3c05dbab,2.319085013995589e-05,2.3762216923671656e-05,2.4768120875007314e-05,2.39648832369156e-05,2.5470928546136328e-05,2.2665979456125703e-05,2.4264108577973384e-05,2.389697606776066e-05
44,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,2.3151187618312083e-05,2.384896486131638e-05,2.4562383222640778e-05,2.4042037268380982e-05,2.555102001615735e-05,2.2701062281541996e-05,2.465953089262719e-05,2.4185825860173643e-05
45,71555c48be7f07833bd540dacb50deb8069b551f,2.3239232595659447e-05,2.3723135448314927e-05,2.476942386227528e-05,2.395884231694809e-05,2.53356504742499e-05,2.2645479552526552e-05,2.445011051742556e-05,2.4016247552776755e-05
46,5324067c702a41e901354a01a5f0d05ff49b6cb4,2.28773724575539e-05,2.351006333753292e-05,2.426909745339579e-05,2.377364555662819e-05,2.4903296165306257e-05,2.247450043288589e-05,2.3934146156534553e-05,2.3816495602199715e-05
