,hash,"a_masked-True,b_masked-True,size-10","a_masked-True,b_masked-True,size-100","a_masked-True,b_masked-True,size-1000","a_masked-True,b_masked-False,size-10","a_masked-True,b_masked-False,size-100","a_masked-True,b_masked-False,size-1000","a_masked-False,b_masked-True,size-10","a_masked-False,b_masked-True,size-100","a_masked-False,b_masked-True,size-1000","a_masked-False,b_masked-False,size-10","a_masked-False,b_masked-False,size-100","a_masked-False,b_masked-False,size-1000"
44,c3fd79150bc183e8852f1330ea6e8cb4ca7ce7bc,0.00011228405249615511,0.00011119340595446135,0.00011275930370649566,0.00016342748456926487,0.00016832267865538598,0.00016697057862840003,0.0001659254063921633,0.00016758065515508255,0.00016356534463589763,0.0001296132952434781,0.00012901285663247108,0.00012916788982693107
45,71555c48be7f07833bd540dacb50deb8069b551f,0.00011151901568577747,0.00011160137240794745,0.00011169404684345132,0.00016780628357082605,0.00016692648718103035,0.00016505028840831736,0.00016860455094325926,0.00016893828675771752,0.00016590655155357767,0.00012880653033361716,0.00013203095071590864,0.00013051141075879694
46,5324067c702a41e901354a01a5f0d05ff49b6cb4,0.00011020499949503427,0.00011149115364431687,0.00011007937830575604,0.0001670018325305798,0.00016526008066512755,0.00016571999707769964,0.00016533184918712395,0.00016362648046411136,0.00016576901168352174,0.00013004753683858058,0.00012862302417702536,0.00012709549628198147
47,20cb312563b2e7c0b180db8dffbcd71d7dfd0bee,0.00011137330983864501,0.00011180663952023112,0.00011107280489898497,0.00016719169886500546,0.00016915173299850955,0.00016373842804422303,0.00016494117923738326,0.00016293670705636032,0.00016825975880267158,0.00013034435396548362,0.00013162201871694642,0.00013029984717221954
48,45ee22fa2fdd2bace756ed62685a346da91c4cb2,0.00011254432995217977,0.00011328712931459712,0.00011497986017037994,0.00017439506825853566,0.00016823728131412557,0.0001703644539379785,0.00016757471847438045,0.00016569640738741745,0.00017006137204589322,0.00013310938643721433,0.00013388338415190962,0.00013156322750581216
49,798aee26bdb9dcc0e806ca9271f0f98297188dec,0.0001142233506672912,0.00011410115732123023,0.00011393652581002401,0.00017395625048774785,0.00017117745139532618,0.0001719470329893132,0.00017047249025008718,0.00017219391193682863,0.00016989221903266477,0.0001326699187106724,0.00013268307054367586,0.00013456389928857485
50,1c50f244d4d1eba4f3f63e93a05a2b2f938685a4,0.00011179378171536055,0.00011263081166697176,0.00011229736852751235,0.00016726447915237758,0.00016888524558334077,0.00016549468637094833,0.00016585824685910392,0.00016597823493859985,0.00016534428141312674,0.0001295912654403551,0.00012955514137588797,0.0001291558088987698
51,fca7a15f30776ebce9e6814eb927e837f567a518,0.00011280651194273784,0.00011285894640511082,0.00011272269541457775,0.00016764020021524162,0.00016980732745323023,0.0001666635013834545,0.00016817096697136028,0.00016481359489262104,0.0001678655742470062,0.00013068900724132377,0.0001315819464219981,0.00013087407196274935
52,26311ed7bf80e02c827189e80084602d72e4f284,0.00011475698431573248,0.00011492199264466763,0.00011643311898276377,0.0001746921994102498,0.00017566924854632348,0.00017135918994123738,0.0001689916431543327,0.00017324118022570164,0.00017286801012232899,0.0001328916220766742,0.0001324005948845297,0.00013316359545569866
53,b5e01bcb668da0413170a886c258e00d2540e752,0.00011366326862605669,0.00011369685956236461,0.00011467337658952759,0.00016820762825549626,0.00017269726021815153,0.00017019563171340792,0.00017241806891120847,0.00017068608940462582,0.00017043079060385935,0.00013091752329204656,0.00013273273582888555,0.00013197680840952488
54,ab30683fe1277a7fd471be63975a02ed8d766f94,0.00011342172460306597,0.00011291923201693001,0.00011412566032339917,0.00017007836904071394,0.00017160184101247398,0.00017005497528637043,0.00017127731189248152,0.00016736165965877233,0.00017043845277399787,0.00013251012718551848,0.00013154192129150033,0.00013334878316395972
55,3c89e2f913406f55b6e998017c1149e3ba383bcc,0.00011248191347926534,0.00011462659401061771,0.00011257013125765707,0.00016665072845561165,0.000170273950598279,0.0001674873222197805,0.00016600797029181583,0.0001650665442205288,0.00016776689388338595,0.00013116877526044848,0.00013242694372429125,0.00013156270441145467
56,590f07121dc55e6d9d9ce514887c9bbc253fb266,0.00011532852596413064,0.00011356052389921068,0.00011452577503708503,0.0001754953675919165,0.00017260597469132455,0.0001707354427448341,0.00017344086604603265,0.0001705061731627211,0.00017261931574658344,0.00013651674052175038,0.00013664067101975283,0.00013505613419394463
