,hash,type-int16,type-float16,type-int32,type-float32,type-int64,type-float64,type-complex64,type-longfloat,type-complex128,type-complex256
20,d647ef2d98852e322d487d6045d5860223dcda79,5.309705643210293e-06,5.269010613241377e-06,5.293961906109948e-06,5.43929636478424e-06,5.297213559640316e-06,5.515894325441583e-06,5.941626821714921e-06,5.49995596140921e-06,6.111943574008329e-06,6.1517783516878755e-06
21,e73c8e5479297f235b37fba91d6d0e8464be66a6,5.210613578098292e-06,5.2080235268231305e-06,5.233707747461112e-06,5.47481697531365e-06,5.214420958642554e-06,5.47175295650959e-06,5.81009511194101e-06,5.43424194412572e-06,6.043838800106059e-06,5.954444754382466e-06
22,ad30b31af0bb3fbfdc0f11486807edc76cec2680,5.396127027671526e-06,5.308477645288335e-06,5.370347666338158e-06,5.644227001312409e-06,5.3663336577446125e-06,5.654136960705122e-06,6.117938642204629e-06,5.474631601127131e-06,6.3362727417641956e-06,6.057733471508706e-06
23,073316d25d24b7cb4ffc09fc705448b0e17dc2dc,5.332380149121252e-06,5.306275494770105e-06,5.3047691709341615e-06,5.585538388297587e-06,5.318060077740992e-06,5.606412596832827e-06,6.062372102927447e-06,5.4428833961440756e-06,6.229074179745194e-06,6.094217184345163e-06
24,e0d27e381889cc30ac0d5ab906146b7c2794ecc7,5.541791346675251e-06,5.4187275395351964e-06,5.55611952118621e-06,5.727640926415304e-06,5.622440374191897e-06,5.898882075705174e-06,6.260739763084456e-06,5.636107041766376e-06,6.4349385147945116e-06,6.142565504517186e-06
25,fdec5a5d3dcd7fdf46886a162147d073546537cb,5.208904925574906e-06,5.1482249563339194e-06,5.194304016599723e-06,5.404921156799265e-06,5.31228168098175e-06,5.500253757953463e-06,5.848917364674449e-06,5.358392541620089e-06,6.1056136023868175e-06,5.86586409351892e-06
26,d0928f871ccb42484c7e03c456ce489dea908313,5.572168290507879e-06,5.490468428104925e-06,5.5486194032267515e-06,5.699862812735359e-06,5.663551713774345e-06,5.81977122437471e-06,6.256401997474431e-06,5.686766003357428e-06,6.329298933179701e-06,6.378289029767286e-06
27,0ac02d3819157a9c64b78157428336200632cff8,5.730739961680858e-06,5.316806034422246e-06,5.350773060537598e-06,5.562613311910944e-06,5.491935330147515e-06,5.707628580798206e-06,6.040542475047709e-06,5.521396298625e-06,6.253362617230621e-06,6.05932805751533e-06
28,68ebc2bad1ad6a99e9939eff205a1a6d936cf4fd,5.444632104066135e-06,5.529190845637622e-06,5.714009840066222e-06,5.884585511096545e-06,5.802253026270826e-06,5.8386412885890735e-06,6.1735785870418485e-06,5.682681206684963e-06,6.462409761289269e-06,6.454884841010813e-06
29,02d66ecd80a1851c3b206f4d778687b38c9d2c36,5.290672192873144e-06,5.180243721978849e-06,5.258428781466363e-06,5.536865854092775e-06,5.328010443638888e-06,5.565977590551165e-06,6.041697000425533e-06,5.361217219859925e-06,6.2491229703090985e-06,6.000490761727355e-06
30,0c384dad6a0a7bfc9842e92253c5f02b810b8bbd,5.734738007914729e-06,5.703407525253247e-06,5.815622873451445e-06,5.971817421931071e-06,5.870283455993381e-06,6.025638508068009e-06,6.496284671773397e-06,5.857735199061522e-06,6.546268668612392e-06,6.275298044711053e-06
31,19bc8bbe37044b9f23d80bb282758071d0d8bf15,5.541472205897902e-06,5.507449276793675e-06,5.533108637787305e-06,5.7609196372499435e-06,5.665400525188202e-06,5.910462591443854e-06,6.227310998814742e-06,5.7670549559433e-06,6.401718573510161e-06,6.252273693915797e-06
32,f1206ddb24d35781328266b2b02fa27e6fbb9846,5.171596880815747e-06,5.15757419227943e-06,5.193723218356671e-06,5.413483300649965e-06,5.268487007418316e-06,5.512198465040239e-06,5.8294461897542415e-06,5.5277192089808445e-06,6.012590236815752e-06,5.999452873015577e-06
33,a89f3ebaec7441f4ba5e30eb07206c2a7269778e,5.238794728331179e-06,5.18141887644588e-06,5.241271866618078e-06,5.45472538317556e-06,5.356394053425318e-06,5.554448804699081e-06,5.915837272522277e-06,5.3609805646295126e-06,6.178415828794074e-06,6.162070293396949e-06
34,9eabe2f87dbe087e878983bdd69edd8a9084c358,5.462245434403776e-06,5.4368336074919405e-06,5.39647973072954e-06,5.41122833836378e-06,5.367161108025961e-06,5.428088344375646e-06,5.8546561046209514e-06,5.641632945711679e-06,5.889543661658136e-06,6.109091034048455e-06
35,5345c2575a28fa2dfbbec83c99636669476c2745,5.214343788974693e-06,5.32445833367328e-06,5.1975652227122195e-06,5.324041182640484e-06,5.208456845763493e-06,5.333166480817049e-06,5.709349375067285e-06,5.450889752749925e-06,5.777006720503171e-06,6.26111945883089e-06
36,ccb971d169e75c35ae0360e0949f31d2c0c49107,5.29649816417774e-06,5.328642494008772e-06,5.25573539317677e-06,5.322626066117664e-06,5.155084785248074e-06,5.341055261746758e-06,5.72595146443118e-06,5.40954406227907e-06,5.7028304147036195e-06,5.928030281253924e-06
37,cb98ad400c701f189d4e4043ee2cb44857733df4,5.234269422565608e-06,5.335254481630295e-06,5.281478906226216e-06,5.308335160725198e-06,5.239064979777237e-06,5.4638442177276715e-06,5.798034667811978e-06,5.441216235476947e-06,5.900302848334069e-06,6.21682529943979e-06
38,a0350ed099d1265dd86627280b03ea7070920092,5.302125096900835e-06,5.371004847234737e-06,5.273763375609433e-06,5.3339022640869315e-06,5.259845153163866e-06,5.404699788550916e-06,5.946902855092001e-06,5.397747808582465e-06,6.020560539203936e-06,6.009554344224901e-06
39,9e85b3701f80a5e48ca5e7fc5281af2aba591870,5.256998781212711e-06,5.422159289875127e-06,5.3968357443663915e-06,5.362120882839961e-06,5.3349330911423645e-06,5.427874038083839e-06,5.996328077932317e-06,5.452416117534541e-06,6.092228189954527e-06,6.042627903405516e-06
40,f3ff68e5fe874f9626fcbe85000549083f4f222a,5.363725634704053e-06,5.5839804780244335e-06,5.448515181192715e-06,5.642188981731773e-06,5.389834520312658e-06,5.472673775446146e-06,5.942818852037175e-06,5.485951736000386e-06,6.172791061474016e-06,6.257906934479251e-06
41,56315089b048160d7c013f257ebf7ea9fea70d91,5.593200085879037e-06,5.462851483159198e-06,5.4652619061371944e-06,5.551123741473802e-06,5.423449952754059e-06,5.6647886585370245e-06,5.916837505137939e-06,5.74638277913838e-06,6.183877765158913e-06,6.221481367983087e-06
42,8d225d918ed052a259331722b4eaf66d54a212d3,5.605217645324251e-06,5.618485108440377e-06,5.525741340655501e-06,5.621874015443123e-06,5.4570656217556325e-06,5.694850125918078e-06,6.13420656045756e-06,5.8801397564887054e-06,6.431277297371256e-06,6.526757704236257e-06
43,ea7f5ebbda0016438dc1b80c98ea3de8dfec7ca9,5.323476449081166e-06,5.243064241586543e-06,5.372152875014075e-06,5.35866847977623e-06,5.331410243455909e-06,5.390135890956539e-06,5.733388873826091e-06,5.5363167667649486e-06,5.754453500518125e-06,6.083483950415528e-06
44,b26c86f65f2217578665998db3f3512bca613167,5.389091584727583e-06,5.338604415894723e-06,5.313709441522904e-06,5.344953071045307e-06,5.248171518439091e-06,5.4205185154554856e-06,5.826566839757817e-06,5.57903499546088e-06,5.737000780323679e-06,5.926884235152733e-06
45,a0be9d0615f10e5a1098466a58e18a215ff427a6,5.348679449461869e-06,5.494012923802593e-06,5.22995944390827e-06,5.421366651019414e-06,5.353997616497416e-06,5.4712069243237465e-06,5.784508794553904e-06,5.576863165667275e-06,5.7463910850008745e-06,6.023685875019633e-06
46,0991b083bb0ee8bbd767deadbe237994397e79c5,5.518759796164131e-06,5.4748156920352605e-06,5.507121470948171e-06,5.466522892528597e-06,5.398632010258546e-06,5.498062118297238e-06,5.856732759013693e-06,5.64727309785973e-06,6.029434460847331e-06,6.143791140632683e-06
47,da1621637b7c59c155ec29466fb5f810ebd902ac,5.376286124532501e-06,5.364557569860081e-06,5.365164311446644e-06,5.338023296163259e-06,5.310844482736741e-06,5.376220178373408e-06,5.7672596722448925e-06,5.566129261324764e-06,5.9179986163558106e-06,6.156151655519751e-06
48,1fb7047b0ceba98d43b50ebb398be899ff8f6a1c,5.4521868795919875e-06,5.466497254713515e-06,5.355450213395253e-06,5.513449605268353e-06,5.375630712308491e-06,5.7349654277375186e-06,6.04502449693786e-06,5.6362305618761935e-06,6.239935259664387e-06,6.248307280802532e-06
49,95a6774007d1d7898c7da40d9989e9f1dd1b0f40,5.506610930530523e-06,5.329027432711336e-06,5.456311476376394e-06,5.4166444108416576e-06,5.420706891614553e-06,5.450871572009387e-06,6.153717078673891e-06,5.4951738941057e-06,6.0353448987419234e-06,6.039362895162614e-06
50,02883d85b5d3f68c12cb1df75f96e0fed741d4a4,5.448541797414517e-06,5.3072754788219694e-06,5.3347075200576144e-06,5.420871071613082e-06,5.323128106437648e-06,5.51332916067466e-06,5.892347111726439e-06,5.654897286348005e-06,5.932592808390702e-06,6.037244985701749e-06
51,8245b392a344a1ae0db6e569ab68b368ad8883c1,5.4980558185150735e-06,5.426927320863134e-06,5.383019158653328e-06,5.448451165206705e-06,5.407656179820069e-06,5.655479749502319e-06,6.075280459407974e-06,5.559183609147223e-06,6.313410041661098e-06,6.426102837792595e-06
52,cdf83879fd0d050cade0fe7852550fcbcc177648,5.689010710697009e-06,5.646197453516299e-06,5.706565274660021e-06,5.912015304219213e-06,5.766186259585206e-06,5.955499251885639e-06,6.397431910012168e-06,6.211908142705225e-06,6.472098920273625e-06,6.7062397337824605e-06
53,b3f7132e0bf378eaf21af9194f447036b66c70b9,5.381997787985108e-06,5.332949417227358e-06,5.412319931940782e-06,5.677608168384743e-06,5.492453844881201e-06,5.593231129087603e-06,6.049607441691327e-06,5.930736549239252e-06,6.17011006319865e-06,6.262787368723469e-06
54,240f7c9d95e60d14cf3f09decc3e61a451d78bf8,5.482825295301038e-06,5.274644106186118e-06,5.376635930247683e-06,5.5543141290392475e-06,5.571906839744473e-06,5.5856441505538145e-06,6.124598857416299e-06,5.81330076355929e-06,6.186260837563176e-06,6.282752296528336e-06
55,eb22fe8f82b8c7b0561b25614cb0863b71b4427a,5.179765061628122e-06,5.16461621748111e-06,5.225010848681531e-06,5.441909450824188e-06,5.36005528972645e-06,5.506441647961638e-06,5.973561615420614e-06,5.781269027309874e-06,6.234356796948469e-06,6.532930515931512e-06
56,a69ce0652b27b55d680a9d6def2a05c4376653c9,5.315774193308634e-06,5.205838592288955e-06,5.37054543118184e-06,5.484250071178e-06,5.46104250883337e-06,5.561784193449214e-06,6.0476905157968515e-06,5.68771052574516e-06,6.2009170350662704e-06,6.133882726850576e-06
57,e8c78e09ab38b80b586108dfb4151cbe70c7a694,5.20611378482507e-06,5.173661966023149e-06,5.215853336657641e-06,5.462386432182358e-06,5.349244835130641e-06,5.444879312668596e-06,5.866532739868438e-06,5.772607669377403e-06,6.028104278253341e-06,6.254883051451061e-06
58,f253a7e39204142e3cf82d6beeef1ce22f5500cd,5.452012177556753e-06,5.497424117658074e-06,5.511189560880536e-06,5.746154542482439e-06,5.7045395770587604e-06,5.889661547668951e-06,6.048024732775773e-06,6.124716600032327e-06,6.249756220988951e-06,6.519510244205377e-06
59,2f156d8e3eb4f57067209fa4499eaeed8551c4ae,5.477224012829393e-06,5.349612458884891e-06,5.518583510118195e-06,5.596900615384992e-06,5.542301107897541e-06,5.7229300223236425e-06,6.257987703221533e-06,5.739895507464285e-06,6.380983213687833e-06,6.367914489845732e-06
60,69555f52b2e2c5032cf70d40d9f9b8ec9a048500,5.251479808803839e-06,5.19254063724397e-06,5.2612793156647146e-06,5.3160810351516085e-06,5.4548512959834375e-06,5.513887811225524e-06,5.778371090219913e-06,5.964875414799929e-06,6.103941963778602e-06,6.310437915085588e-06
61,209499058705258d60194f7d06890a6825778d6a,5.120717590981943e-06,5.194033207509247e-06,5.1944993172662216e-06,5.483704153448344e-06,5.130775278115374e-06,5.467783002619964e-06,5.9483182914974996e-06,5.412005229395525e-06,6.024154645949196e-06,5.92173580654195e-06
62,5390a021ca3842e237d75e328bd47fb334e647f6,5.66392974194013e-06,5.353144965500063e-06,5.363617918174255e-06,5.705810424540897e-06,5.507407246658645e-06,5.793980205426587e-06,6.108511654370176e-06,5.606376590130782e-06,6.239363982666672e-06,6.403148651492497e-06
63,be8ab91f789c3b688d707940016b4c2d262913e9,5.407023514286051e-06,5.201341401084674e-06,5.279930073719333e-06,5.5511063035818055e-06,5.4878766244664826e-06,5.603825479715172e-06,6.061124024864321e-06,5.386885942840476e-06,6.075861215335251e-06,5.921656932246207e-06
64,6d4895cc9fe614cf3164891b1f502453312f64ca,5.36108802605541e-06,5.257402694468241e-06,5.216060449091961e-06,5.5346914524505585e-06,5.415783697130657e-06,5.740172396673655e-06,6.123171874978504e-06,5.686745264781764e-06,6.253638428453013e-06,6.289999912340174e-06
65,0b9dcb2edef710bb35f1d5f8848fb5ba97990f7a,5.4032259662016275e-06,5.403518141633239e-06,5.449123520462998e-06,5.4247113350932414e-06,5.416339263319969e-06,5.624798797981438e-06,6.095907520534216e-06,5.979290037521791e-06,6.361664938075201e-06,6.641728975595011e-06
66,dba16cd9f155c858bdddb530cab9971bf9af75fc,5.394811849345057e-06,5.354025681627508e-06,5.4073975318008e-06,5.5417601922244735e-06,5.421719297927699e-06,5.572725753111529e-06,6.124745418135457e-06,5.7480253658259455e-06,6.22175521213034e-06,6.506916583670735e-06
